City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.94,light rain,-23.1203,-134.9692,People ThankYou
1,Mahebourg,MU,84.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Liuli,TZ,75.78,light rain,-11.0833,34.6333,"Puulu Beach,Puulu Village"
16,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
18,Nelson Bay,AU,74.28,broken clouds,-32.7167,152.15,Mantra Nelson Bay
20,Cape Town,ZA,79.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
22,Port Hedland,AU,89.65,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
24,Busselton,AU,75.09,clear sky,-33.65,115.3333,Observatory Guest House
27,Kulhudhuffushi,MV,81.79,moderate rain,6.6221,73.07,Haajy Guest House 1
30,Hobart,AU,70.23,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
31,Atuona,PF,77.65,light rain,-9.8,-139.0333,Villa Enata
33,Port Alfred,ZA,77.58,broken clouds,-33.5906,26.891,The Halyards Hotel
37,Boyolangu,ID,78.76,overcast clouds,-8.1181,111.8935,Yos ega cv
39,Tura,IN,72.1,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
42,Arraial Do Cabo,BR,73.35,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
44,Esperance,AU,71.44,broken clouds,-33.8667,121.9,Hospitality Esperance
45,Sao Filipe,CV,77.9,broken clouds,14.8961,-24.4956,Hotel Xaguate
46,Saint-Philippe,RE,85.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Bull Savanna,JM,70.81,clear sky,17.8868,-77.5902,Big Red's
59,Mega,ET,74.21,scattered clouds,4.05,38.3,Amanuel Guest House
62,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
68,Kupang,ID,82.35,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
70,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
73,Daru,PG,82.13,overcast clouds,-9.0763,143.2092,Daru Lodge
74,Bredasdorp,ZA,78.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
75,Hithadhoo,MV,81.39,scattered clouds,-0.6,73.0833,Scoop Guest House
76,Namibe,AO,77.63,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
77,Yarada,IN,84.52,haze,17.65,83.2667,Yarada Jungle Beach Resorts
85,Waingapu,ID,81.32,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
86,Plettenberg Bay,ZA,75.87,clear sky,-34.0527,23.3716,Thanda Vista B&B
92,Ternate,ID,82.65,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
94,Hermanus,ZA,78.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
97,Bambous Virieux,MU,84.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
102,Zemio,CF,88.77,few clouds,5.0314,25.1361,OCHA Office
109,Kapaa,US,71.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
113,Butaritari,KI,82.8,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
115,Ambilobe,MG,84.85,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
119,Lucapa,AO,75.38,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
120,Ahipara,NZ,76.71,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
123,Kudahuvadhoo,MV,81.63,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
124,Sojat,IN,77.63,clear sky,25.9167,73.6667,HOTEL SUNRISE & BAR
130,Axim,GH,80.78,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
134,Cidreira,BR,72.73,clear sky,-30.1811,-50.2056,Hotel Castelo
135,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
136,Mogwase,ZA,80.47,clear sky,-25.185,27.2665,De Skaap Accommodation & Event Venue
137,Chicama,PE,71.01,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
140,Touba,CI,70.83,clear sky,8.2833,-7.6833,Hotel de L'Amitié Vraie
142,Dingle,PH,80.89,light rain,10.9995,122.6711,SEGAYA PROPERTY
149,Souillac,MU,84.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
151,Charlestown,AU,74.21,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
160,Road Town,VG,73.99,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
165,Bengkulu,ID,83.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
166,Ugoofaaru,MV,80.92,moderate rain,5.6667,73.0,Ungoofaaru Inn
169,Santa Isabel Do Rio Negro,BR,71.53,overcast clouds,-0.4139,-65.0192,Hotel GSA
171,Jertih,MY,82.27,overcast clouds,5.7336,102.4897,One Utama Hotel
174,Hobyo,SO,81.57,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
176,Ribas Do Rio Pardo,BR,70.79,clear sky,-20.4431,-53.7592,Pousada Avenida
177,Takoradi,GH,81.32,overcast clouds,4.8845,-1.7554,Raybow International Hotel
179,Namatanai,PG,79.66,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
185,Baiao,BR,71.47,moderate rain,-2.7906,-49.6717,Hotel Eurosono
192,Ranau,MY,73.35,broken clouds,5.9538,116.6641,The Second Room
195,Hambantota,LK,89.94,scattered clouds,6.1241,81.1185,Bungalow 63
197,Huarmey,PE,70.77,overcast clouds,-10.0681,-78.1522,Hotel Miramar
201,Kirakira,SB,79.23,light rain,-10.4544,161.9205,SanBiz Lodge
203,Mackay,AU,84.18,scattered clouds,-21.15,149.2,International Lodge Motel
205,Nishihara,JP,70.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
210,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
213,Vao,NC,80.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
214,Ratnagiri,IN,89.24,broken clouds,16.9833,73.3,Hotel Landmark
215,Upington,ZA,84.58,clear sky,-28.4478,21.2561,River Place Manor
218,Sur,OM,76.46,clear sky,22.5667,59.5289,Sur Plaza Hotel
221,Flinders,AU,70.88,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
223,Honiara,SB,77.58,overcast clouds,-9.4333,159.95,Heritage Park Hotel
225,Bahawalpur,PK,79.92,clear sky,29.4,71.6833,Pak Continental Hotel
229,Port Lincoln,AU,73.53,clear sky,-34.7333,135.8667,Port Lincoln Hotel
230,Kloulklubed,PW,82.2,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
232,Kavaratti,IN,80.74,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
235,Gizo,SB,81.52,light rain,-8.103,156.8419,Imagination Island
244,Aba,NG,74.82,scattered clouds,5.1066,7.3667,Rosies Hotel Limited
245,Grand Gaube,MU,84.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
251,Labuhan,ID,81.07,overcast clouds,-6.8844,112.2051,DoubleFAG
252,Samarai,PG,82.31,broken clouds,-10.6167,150.6667,Nuli Sapi
253,Saint-Joseph,RE,84.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
254,Gladstone,AU,80.53,scattered clouds,-23.85,151.25,Highpoint International Hotel
256,Cockburn Town,TC,77.25,clear sky,21.4612,-71.1419,Osprey Beach Hotel
257,Sinnamary,GF,76.23,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
259,Salalah,OM,76.84,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
263,Fare,PF,81.75,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
269,Conceicao Do Araguaia,BR,71.69,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
270,San Lorenzo,PY,76.59,clear sky,-25.3333,-57.5333,Hotel del Sur
271,Loubomo,CG,75.4,overcast clouds,-4.1997,12.6739,La Dolisienne
273,Bubaque,GW,77.58,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
278,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
279,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
280,Kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
281,The Valley,AI,76.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
284,Kavieng,PG,81.45,light rain,-2.5744,150.7967,Nusa Island Retreat
285,East London,ZA,77.94,scattered clouds,-33.0153,27.9116,Tu Casa
286,Meulaboh,ID,86.67,overcast clouds,4.1363,96.1285,Kost Pria
289,Alyangula,AU,85.87,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
290,Sao Felix Do Xingu,BR,70.75,light rain,-6.6447,-51.995,Rio Xingu Camping
293,Ambovombe,MG,84.4,clear sky,-25.1667,46.0833,RELAHARA
294,Angoche,MZ,81.73,light rain,-16.2325,39.9086,Guest House HESADA
300,Richards Bay,ZA,83.79,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
304,Lorengau,PG,81.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
305,Isangel,VU,80.11,overcast clouds,-19.55,169.2667,Tanna Lodge
307,Finschhafen,PG,80.24,overcast clouds,-6.6024,147.8681,Cossam Guest House
310,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
312,Bandarbeyla,SO,79.09,overcast clouds,9.4942,50.8122,JABIR HOTEL
314,Yurimaguas,PE,71.22,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
316,Buala,SB,77.2,light rain,-8.145,159.5921,Maringe Lagoon Lodge
317,Karaton,ID,87.89,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
319,Port Elizabeth,ZA,73.69,clear sky,-33.918,25.5701,39 On Nile Guest House
323,Siavonga,ZM,78.75,overcast clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
326,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
334,Sarankhola,BD,78.01,few clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
335,Fuerte Olimpo,PY,75.6,few clouds,-21.0415,-57.8738,Hospedaje DAMI
336,Belmonte,BR,73.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
339,Paragominas,BR,71.47,overcast clouds,-2.9667,-47.4833,INOVA
342,Black River,JM,73.4,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
343,Morondava,MG,85.46,few clouds,-20.2833,44.2833,La Case Bambou
346,Alindao,CF,89.42,clear sky,5.0267,21.2088,OCHA Alindao
348,Sidrolandia,BR,77.79,clear sky,-20.9319,-54.9614,Agropet São Francisco
349,Wau,SS,85.44,clear sky,7.7029,27.9953,Universal Gab Hotel
351,Binga,ZW,77.27,light rain,-17.6203,27.3414,Lakeview Inn Binga
352,Kruisfontein,ZA,82.53,clear sky,-34.0033,24.7314,Oyster Bay House Rental
355,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
356,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
358,Inhambupe,BR,71.91,clear sky,-11.7844,-38.3531,Hotel JVS
375,Vaitape,PF,82.0,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
377,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
378,Geraldton,AU,81.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
380,Tam Ky,VN,78.78,overcast clouds,15.5667,108.4833,Khách Sạn Đông Á
383,Yenagoa,NG,83.82,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
384,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
386,Tautira,PF,77.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
389,La Asuncion,VE,74.93,broken clouds,11.0333,-63.8628,Colinas de Matasiete
390,Sebu,PH,80.98,overcast clouds,6.22,124.6936,Balben Family Cove
393,Umarkot,PK,81.0,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
396,Caravelas,BR,73.04,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
408,Kaohsiung,TW,78.75,broken clouds,22.6163,120.3133,御宿商旅-中山館
411,Shenzhen,CN,72.86,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
412,Dondo,MZ,85.51,overcast clouds,-19.6094,34.7431,Arco Iris
415,Mwense,ZM,70.59,overcast clouds,-10.3845,28.698,Mwense Council Guest House
422,Teahupoo,PF,71.56,overcast clouds,-17.8333,-149.2667,Vanira Lodge
430,Gold Coast,AU,77.23,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
434,Saint-Paul,RE,86.11,few clouds,-21.0096,55.2707,Boucan Canot
437,Grand-Santi,GF,71.26,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
440,Wewak,PG,81.36,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
443,Antalaha,MG,81.66,light rain,-14.9003,50.2788,Hotel Vitasoa
444,Contramaestre,CU,72.88,few clouds,20.2978,-76.2414,Hotel Caribeño
