City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,2/12/2022 7:55,-23.1203,-134.9692,78.94,73,8,17.52,light rain
1,Mahebourg,MU,2/12/2022 7:55,-20.4081,57.7,84.25,78,40,13.8,scattered clouds
2,Jamestown,US,2/12/2022 7:55,42.097,-79.2353,38.08,66,100,11.01,overcast clouds
3,Ushuaia,AR,2/12/2022 7:52,-54.8,-68.3,51.46,62,40,51.79,scattered clouds
4,Puerto Ayora,EC,2/12/2022 7:55,-0.7393,-90.3518,71.55,97,100,1.01,overcast clouds
5,Hasaki,JP,2/12/2022 7:55,35.7333,140.8333,48.29,52,100,6.2,overcast clouds
6,Klaksvik,FO,2/12/2022 7:55,62.2266,-6.589,41.92,97,100,20.02,overcast clouds
7,Saint-Michel-Des-Saints,CA,2/12/2022 7:52,46.6834,-73.9159,31.93,98,100,8.68,overcast clouds
8,Albany,US,2/12/2022 7:51,42.6001,-73.9662,50.58,62,100,6.64,overcast clouds
9,Hilo,US,2/12/2022 7:50,19.7297,-155.09,68.61,92,1,3,clear sky
10,Liuli,TZ,2/12/2022 7:55,-11.0833,34.6333,75.78,82,100,3.94,light rain
11,Archidona,ES,2/12/2022 7:55,37.0965,-4.3887,46.67,90,31,4.03,scattered clouds
12,Ixtapa,MX,2/12/2022 7:55,20.7,-105.2,66.22,83,10,1.01,clear sky
13,Khatanga,RU,2/12/2022 7:55,71.9667,102.5,2.16,82,74,12.39,broken clouds
14,Zyryanka,RU,2/12/2022 7:55,65.75,150.85,-31.22,97,22,5.84,few clouds
15,Clyde River,CA,2/12/2022 7:55,70.4692,-68.5914,-18.17,69,40,25.32,scattered clouds
16,Avarua,CK,2/12/2022 7:55,-21.2078,-159.775,75.25,94,46,1.14,scattered clouds
17,Mataura,NZ,2/12/2022 7:55,-46.1927,168.8643,53.47,60,78,5.82,broken clouds
18,Nelson Bay,AU,2/12/2022 7:55,-32.7167,152.15,74.28,65,63,1.99,broken clouds
19,Fort William,GB,2/12/2022 7:55,56.8165,-5.1121,47.3,90,100,9.4,light rain
20,Cape Town,ZA,2/12/2022 7:55,-33.9258,18.4232,79.88,56,0,8.05,clear sky
21,Hofn,IS,2/12/2022 7:55,64.2539,-15.2082,21.94,71,100,24.2,snow
22,Port Hedland,AU,2/12/2022 7:55,-20.3167,118.5667,89.65,70,9,9.22,light rain
23,Vestmannaeyjar,IS,2/12/2022 7:55,63.4427,-20.2734,30.07,70,100,3.98,overcast clouds
24,Busselton,AU,2/12/2022 7:55,-33.65,115.3333,75.09,45,6,12.82,clear sky
25,Port Augusta,AU,2/12/2022 7:55,-32.5,137.7667,96.71,19,0,9.42,clear sky
26,Sitka,US,2/12/2022 7:55,57.0531,-135.33,44.49,87,100,3.44,moderate rain
27,Kulhudhuffushi,MV,2/12/2022 7:55,6.6221,73.07,81.79,69,48,1.72,moderate rain
28,Norman Wells,CA,2/12/2022 7:55,65.282,-126.8329,-21.96,69,20,4.61,few clouds
29,Codrington,AU,2/12/2022 7:55,-38.2667,141.9667,69.94,62,0,16.84,clear sky
30,Hobart,AU,2/12/2022 7:55,-42.8794,147.3294,70.23,58,57,12.66,broken clouds
31,Atuona,PF,2/12/2022 7:55,-9.8,-139.0333,77.65,76,10,14.2,light rain
32,Manbij,SY,2/12/2022 7:55,36.5281,37.9549,52.57,44,0,4.36,clear sky
33,Port Alfred,ZA,2/12/2022 7:55,-33.5906,26.891,77.58,76,74,12.1,broken clouds
